barrio,distrito,price,size,rooms,bathrooms
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,1750.0,95,2,2
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,2600.0,140,3,2
Sant Gervasi - la Bonanova,Les Corts,1000.0,85,4,2
Sant Antoni,L'Eixample,1181.0,103,4,2
el Camp d'en Grassot i Gracia Nova,Gràcia,1500.0,68,2,1
Sagrada Familia,L'Eixample,1500.0,55,1,1
el Raval,Ciutat Vella,975.0,77,3,1
les Tres Torres,Les Corts,1895.0,166,3,2
el Poblenou,Sant Martí,1300.0,155,2,1
el Poble Sec,Sants-Montjuïc,900.0,69,3,1
el Parc i la Llacuna del Poblenou,Sant Martí,850.0,77,3,1
el Raval,Ciutat Vella,750.0,50,2,1
la Salut,Gràcia,850.0,52,2,1
Sant Antoni,L'Eixample,1150.0,74,3,1
la Nova Esquerra de l'Eixample,L'Eixample,1235.0,57,2,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1325.0,88,3,2
la Dreta de l'Eixample,L'Eixample,1800.0,70,3,1
Hostafrancs,Sants-Montjuïc,1050.0,115,5,2
l'Antiga Esquerra de l'Eixample,L'Eixample,2350.0,165,2,2
Sagrada Familia,L'Eixample,1500.0,125,3,3
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1550.0,108,4,2
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,2700.0,110,2,2
el Parc i la Llacuna del Poblenou,Sant Martí,950.0,89,3,1
el Raval,Ciutat Vella,825.0,34,2,1
la Salut,Gràcia,750.0,38,1,1
el Raval,Ciutat Vella,940.0,69,2,1
l'Antiga Esquerra de l'Eixample,L'Eixample,2000.0,146,4,2
Gotic,Ciutat Vella,1400.0,90,2,2
Gotic,Ciutat Vella,1450.0,110,3,2
Sagrada Familia,L'Eixample,1500.0,60,1,1
Navas,Sant Andreu,935.0,68,2,2
la Bordeta,Sants-Montjuïc,713.0,59,4,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1400.0,133,4,2
la Nova Esquerra de l'Eixample,L'Eixample,1275.0,65,2,1
Sant Gervasi - la Bonanova,Les Corts,900.0,29,1,1
la Vila de Gracia,Gràcia,1170.0,60,2,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1300.0,100,4,2
la Salut,Gràcia,980.0,82,3,1
el Raval,Ciutat Vella,1000.0,40,1,1
el Raval,Ciutat Vella,1100.0,70,3,1
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,2400.0,115,3,2
el Raval,Ciutat Vella,900.0,70,3,1
l'Antiga Esquerra de l'Eixample,L'Eixample,2200.0,177,5,2
la Vila de Gracia,Gràcia,1200.0,103,3,2
Sant Antoni,L'Eixample,980.0,65,3,1
les Tres Torres,Les Corts,1600.0,120,4,2
el Raval,Ciutat Vella,1000.0,108,3,2
el Poble Sec,Sants-Montjuïc,875.0,65,2,1
Sant Antoni,L'Eixample,920.0,62,2,1
les Tres Torres,Les Corts,1900.0,200,4,2
la Nova Esquerra de l'Eixample,L'Eixample,1325.0,80,4,2
Sant Antoni,L'Eixample,1030.0,90,3,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1300.0,71,3,1
Sant Gervasi - la Bonanova,Les Corts,900.0,40,1,1
la Maternitat i Sant Ramon,Sants-Montjuïc,1400.0,60,2,1
la Salut,Gràcia,840.0,76,2,1
la Font de la Guatlla,Sants-Montjuïc,780.0,45,2,1
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,2900.0,285,5,4
l'Antiga Esquerra de l'Eixample,L'Eixample,5000.0,250,5,3
Sant Antoni,L'Eixample,890.0,63,2,1
el Besos i el Maresme,Sant Martí,1750.0,92,3,2
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1100.0,100,2,2
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1507.0,66,1,1
la Sagrera,Sant Andreu,625.0,40,1,1
el Raval,Ciutat Vella,890.0,70,2,1
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,1750.0,120,2,2
